Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Sudan,SDN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.4,131.5,125.21,126.03,123.41
Suriname,SUR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.18,95.88,89.67,79.98,79.88
Sweden,SWE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.35,64.14,105.2,102.54,91.76
Switzerland,CHE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.02,107.56,98.23,103.77,84.84
Syrian Arab Republic,SYR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,112.54,107.35,129.66,134.68,105.76
Tajikistan,TJK,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,109.07,119.26,131.18,129.71,133.07
Tanzania,TZA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,96.86,103.51,104.94,106.03,104.84
Thailand,THA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.94,106.34,102.49,95.97,99.63
Timor-Leste,TLS,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.16,95.38,92.16,95.61,93.39
Togo,TGO,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.43,109.04,109.57,110.46,111.34
Tonga,TON,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,98.07,96.04,96.04,96.13,93.08
Trinidad and Tobago,TTO,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.18,106.93,101.05,103.56,103.41
Tunisia,TUN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,90.7,119.02,106.28,131.12,103.07
Turkiye,TUR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.25,107.21,109.98,115.69,114.45
Turkmenistan,TKM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.67,93.59,129.47,137.66,127.86
Turks and Caicos Islands,TCA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
