Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Malaysia,MYS,Income share held by highest 10%,SI.DST.10TH.10,..,31.2,..,..,..
Maldives,MDV,Income share held by highest 10%,SI.DST.10TH.10,..,..,23.3,..,..
Mali,MLI,Income share held by highest 10%,SI.DST.10TH.10,..,28.1,..,..,..
Malta,MLT,Income share held by highest 10%,SI.DST.10TH.10,23.3,22.9,24.8,25.1,..
Marshall Islands,MHL,Income share held by highest 10%,SI.DST.10TH.10,..,..,27.5,..,..
Mauritania,MRT,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Mauritius,MUS,Income share held by highest 10%,SI.DST.10TH.10,29.9,..,..,..,..
Mexico,MEX,Income share held by highest 10%,SI.DST.10TH.10,..,37.1,..,35.5,..
"Micronesia, Fed. Sts.",FSM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Moldova,MDA,Income share held by highest 10%,SI.DST.10TH.10,21.7,22,22,..,22.1
Monaco,MCO,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Mongolia,MNG,Income share held by highest 10%,SI.DST.10TH.10,..,25.7,..,..,..
Montenegro,MNE,Income share held by highest 10%,SI.DST.10TH.10,26,26,..,..,..
Morocco,MAR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Mozambique,MOZ,Income share held by highest 10%,SI.DST.10TH.10,..,..,41.2,..,..
Myanmar,MMR,Income share held by highest 10%,SI.DST.10TH.10,25.5,..,..,..,..
Namibia,NAM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Nauru,NRU,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Nepal,NPL,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Netherlands,NLD,Income share held by highest 10%,SI.DST.10TH.10,23.3,23,23.9,21.6,..
New Caledonia,NCL,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
New Zealand,NZL,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Nicaragua,NIC,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Niger,NER,Income share held by highest 10%,SI.DST.10TH.10,..,31.1,..,..,..
Nigeria,NGA,Income share held by highest 10%,SI.DST.10TH.10,..,26.7,..,..,..
North Macedonia,MKD,Income share held by highest 10%,SI.DST.10TH.10,23.8,23,22.9,..,..
Northern Mariana Islands,MNP,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Norway,NOR,Income share held by highest 10%,SI.DST.10TH.10,21.6,22.2,22.4,..,..
Oman,OMN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Pakistan,PAK,Income share held by highest 10%,SI.DST.10TH.10,..,25.5,..,..,..
Palau,PLW,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Panama,PAN,Income share held by highest 10%,SI.DST.10TH.10,37.7,37.1,38,..,39.4
Papua New Guinea,PNG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Paraguay,PRY,Income share held by highest 10%,SI.DST.10TH.10,39.1,35.8,35.2,33.3,33.1
Peru,PER,Income share held by highest 10%,SI.DST.10TH.10,32.3,31.6,31.1,32.9,30.6
Philippines,PHL,Income share held by highest 10%,SI.DST.10TH.10,..,33.5,..,..,32.5
Poland,POL,Income share held by highest 10%,SI.DST.10TH.10,23.5,24,23.1,..,..
Portugal,PRT,Income share held by highest 10%,SI.DST.10TH.10,26.7,26.6,26,26.9,..
Puerto Rico,PRI,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Qatar,QAT,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Romania,ROU,Income share held by highest 10%,SI.DST.10TH.10,24.9,24.9,24.5,24.2,..
Russian Federation,RUS,Income share held by highest 10%,SI.DST.10TH.10,29.2,29.9,30.2,29,..
Rwanda,RWA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Samoa,WSM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
San Marino,SMR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Sao Tome and Principe,STP,Income share held by highest 10%,SI.DST.10TH.10,32.9,..,..,..,..
Saudi Arabia,SAU,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Senegal,SEN,Income share held by highest 10%,SI.DST.10TH.10,..,30.8,..,..,..
Serbia,SRB,Income share held by highest 10%,SI.DST.10TH.10,25.6,25.5,26,27.1,..
Seychelles,SYC,Income share held by highest 10%,SI.DST.10TH.10,..,23.9,..,..,..
Sierra Leone,SLE,Income share held by highest 10%,SI.DST.10TH.10,..,29.4,..,..,..
Singapore,SGP,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Sint Maarten (Dutch part),SXM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Slovak Republic,SVK,Income share held by highest 10%,SI.DST.10TH.10,18.4,19.6,18.8,..,..
Slovenia,SVN,Income share held by highest 10%,SI.DST.10TH.10,20.4,21,20.7,20.5,..
Solomon Islands,SLB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Somalia,SOM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
South Africa,ZAF,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
South Sudan,SSD,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Spain,ESP,Income share held by highest 10%,SI.DST.10TH.10,25.4,25.3,24.9,25,..
Sri Lanka,LKA,Income share held by highest 10%,SI.DST.10TH.10,..,..,30.8,..,..
St. Kitts and Nevis,KNA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
St. Lucia,LCA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
St. Martin (French part),MAF,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
St. Vincent and the Grenadines,VCT,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Sudan,SDN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Suriname,SUR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Sweden,SWE,Income share held by highest 10%,SI.DST.10TH.10,22.3,22.9,22.7,22.4,..
Switzerland,CHE,Income share held by highest 10%,SI.DST.10TH.10,25.5,25.8,..,..,..
Syrian Arab Republic,SYR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Tajikistan,TJK,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Tanzania,TZA,Income share held by highest 10%,SI.DST.10TH.10,..,33.1,..,..,..
